Facturatieperiode ?? 'jaartal' Run ??
Batchnummer?
Aantal Periodes
30;946997
;1167086
;1459688
;1563042
;1012225
;1276993
;1673273
;956247
;1071065
;1078431
;1177751
;1487876
;1466104
;1203502
;1414572
;1055598
;1474623
;974901
;1010714
;1187910
;1391428
;1543512
;1574656
;1694850
;1199752
31;1171617
;1285855
;1668574
;1197106
;1647417
;1088733
;1436736
;1055571
;1601745
;1133049
32;1103678
;1571286
;982194
;1708706
;1033754
;1082101
;1181714
;1155235
;1534409
33;1706525
;940566
;973917
;1078836
;1650623
;1042853
;1268374
;959242
;1652902
;1094684
;1096289
;1068165
34;1156180
;1160590
;1491488
;1621698
;1650433
;1055866
;1092205
;1391425
;1095971
;1129156
;1516567
35;1175266
;1263737
;1401402
;1466409
;1145290
;1007984
36;962737
;1087858
;1147775
;1218264
;1371073
;1424449
;1019291
;1255721
;1024047
;1113759
;1289928
;1424380
;1162666
;958468
;1378895
;1415390
;1491857
;1675836
;950770
;961322
;978530
;1283692
;1418983
;1439797
37;1113168
;1410957
;1448088
;1270445
;1623712
;1203466
;1322053
;1369451
;1448925
38;943501
;1075928
;1290276
;1041128
;1103729
;1503707
;1568060
39;1371047
;1252279
;1363700
40;1184620
;1645489
;979415
;1054428
;1101494
;1561142
;1697358
;1322083
;1506779
;1603518
;1283551
;1453307
41;1109822
;1503876
;1369454
;1643155
;1463214
;1322058
;1065958
42;1235150
43;1014380
;1185220
;1219130
;1135164
;1238572
;1001406
;1016192
;1138137
;1565390
;1077406
;1461641
;1197396
44;962465
;1406416
;1653035
45;1377285
;1637053
;1590270
46;1355603
;1125334
;1055482
;1079957
;1132206
;1335630
47;1493469
;1129198
49;995257
;1162575
;1391016
;1688645
50;985908
;1299922
;960493
;1597569
;1355962
52;1640029
53;1203533
;1054420
;1493618
54;1713084
;1513333
55;1082055
;1543771
;1019912
;1088907
;1309860
;991484
57;987649
;1609929
;1241451
;1656783
60;962486
62;1121173
;1095519
63;1347827
;1059764
64;1660626
;1574606
